dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Long.csv,12.0,14808.0,4477.0,20.0,0.0002,0.0002,0.0019,0.0018,1.12,1.3381,3.76,3.48,1.04,1.04,0.0,2.74,1.24,1.24,0.04,2.55,,,,,,,3.72,3.48
Titanic.csv,12.0,14808.0,2201.0,4.0,0.4844,0.4842,0.484,0.484,18.72,17.92,3.0,3.0,9.68,9.36,2.88,2.23,9.52,8.96,2.88,2.23,,,,,,,3.0,3.0
compas.csv,12.0,14808.0,5278.0,20.0,0.6027,0.602,0.6034,0.6042,2.8093,4.0202,7.24,5.04,2.2,2.2,1.92,5.31,3.52,3.32,1.96,3.7,,,,,,,7.24,5.04
twonorm.csv,12.0,14808.0,7400.0,21.0,0.0613,0.0611,0.0621,0.0623,6.8764,17.6756,19.88,19.88,4.44,4.44,0.92,14.88,11.76,11.6,2.08,14.89,,,,,,,19.88,19.88
