dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
FICO.csv,12.0,14808.0,9871.0,40.0,0.5468,0.5445,0.5488,0.5478,6.7598,9.64,20.68,11.24,4.68,4.52,10.88,14.87,8.08,7.68,8.68,8.26,,,,,,,20.16,11.12
Satellite.csv,12.0,14808.0,5100.0,37.0,0.0191,0.0219,0.0235,0.0256,2.5069,6.1878,10.28,7.64,2.0,2.0,1.24,7.67,2.12,1.92,0.44,5.13,,,,,,,10.28,7.16
dis.csv,12.0,14808.0,3772.0,55.0,0.0735,0.0672,0.0719,0.0678,48.1101,29.0775,34.16,9.36,5.92,3.16,1.72,12.64,7.12,4.64,1.84,3.89,,,,,,,21.52,5.52
mc1.csv,12.0,14808.0,9466.0,39.0,0.0273,0.0282,0.0291,0.0299,9.5918,3.9514,15.24,6.24,3.96,3.92,8.84,11.17,3.44,3.44,3.28,4.64,,,,,,,15.24,6.24
sick.csv,11.9583,14756.5833,3772.0,53.0,0.0714,0.0644,0.0762,0.0763,3.6277,7.1465,12.25,8.5833,2.92,2.92,6.21,9.06,6.17,6.12,5.29,6.35,,,,,,,12.1667,8.5833
spambase.csv,12.0,14808.0,4601.0,58.0,0.1761,0.1775,0.1856,0.1907,4.7263,8.6814,30.88,24.12,3.24,3.24,13.36,23.09,6.16,6.16,13.48,18.04,,,,,,,30.88,24.12
