dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
SpeedDating.csv,12.0,14808.0,8378.0,501.0,0.3235,0.3194,0.3275,0.3245,3.9481,10.9651,166.48,105.68,3.16,3.16,55.64,123.89,9.8,9.36,64.84,78.34,,,,,,,166.48,105.68
clean2.csv,12.0,14808.0,6598.0,169.0,0.0,0.0001,0.0,0.0001,1.0427,9.7801,17.92,13.4,1.0,1.0,0.0,13.32,9.28,9.08,9.88,10.0,,,,,,,17.92,13.4
jasmine.csv,12.0,14808.0,2984.0,281.0,0.4213,0.4237,0.438,0.4368,2.3356,8.4115,57.92,49.12,2.04,2.04,14.48,42.99,7.88,7.28,31.6,36.46,,,,,,,57.64,48.96
madeline.csv,12.0,14808.0,3140.0,260.0,0.481,0.5269,0.4769,0.5164,10.6848,17.3486,48.92,56.08,9.48,9.0,46.88,36.48,9.72,7.96,39.88,34.01,,,,,,,48.92,53.68
philippine.csv,12.0,14808.0,5832.0,309.0,0.5039,0.5092,0.5075,0.5067,2.2743,12.0724,57.36,58.0,2.0,2.0,19.08,42.61,10.32,10.2,52.08,43.27,,,,,,,57.32,58.0
scene.csv,12.0,14808.0,2407.0,305.0,0.0534,0.0497,0.0634,0.057,3.3219,11.2109,57.16,41.44,2.96,2.96,7.44,42.65,10.2,10.16,19.48,30.91,,,,,,,57.16,41.44
