dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
ECG5000.csv,12.0,14808.0,4998.0,141.0,0.0329,0.0293,0.0356,0.0339,7.3021,13.0905,44.64,23.28,5.72,5.72,18.92,33.35,11.44,11.44,16.24,17.41,,,,,,,44.64,23.28
ada.csv,12.0,14808.0,4562.0,103.0,0.3391,0.3376,0.3484,0.3438,4.4562,9.3325,32.24,22.48,3.52,3.52,10.28,23.8,7.96,7.96,11.8,16.56,,,,,,,31.88,22.24
coil2000.csv,12.0,14808.0,9822.0,86.0,0.2042,0.2056,0.206,0.2066,1.4352,3.8749,22.16,20.84,1.24,1.24,1.6,16.45,3.48,3.32,2.96,15.51,,,,,,,22.08,20.84
kr.csv,12.0,14808.0,3196.0,75.0,0.0337,0.0318,0.0345,0.0371,8.1638,16.5646,37.48,32.68,5.6,5.6,23.6,27.92,11.64,11.6,26.88,24.24,,,,,,,37.4,32.56
mushroom.csv,12.0,14808.0,8124.0,126.0,0.0,0.0001,0.0,0.0001,1.7625,13.0787,48.24,25.52,1.44,1.44,2.96,35.98,11.12,11.04,17.16,19.12,,,,,,,48.2,25.52
national.csv,12.0,14808.0,4908.0,81.0,0.0019,0.0023,0.0053,0.0082,1.0246,3.8759,5.0,4.2,1.0,1.0,0.0,3.6,3.72,3.72,1.76,3.08,,,,,,,4.92,4.2
