dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Contaminant.csv,12.0,14808.0,2400.0,31.0,0.2143,0.1943,0.2234,0.2061,10.0925,16.1605,20.44,20.24,5.88,5.88,12.44,15.26,9.6,9.6,14.48,15.14,,,,,,,20.44,20.24
churn.csv,12.0,14808.0,5000.0,34.0,0.188,0.1789,0.1863,0.1744,5.6419,9.24,17.16,11.96,3.88,3.88,10.96,12.82,6.88,6.84,9.48,8.92,,,,,,,17.16,11.96
kc1.csv,12.0,14808.0,2109.0,22.0,0.3456,0.3457,0.3549,0.3544,9.6564,9.615,7.96,5.56,1.44,1.36,0.84,5.33,4.68,4.48,2.6,3.85,,,,,,,7.96,5.56
ringnorm.csv,12.0,14808.0,7400.0,21.0,0.1791,0.2017,0.1882,0.2068,22.1512,18.6568,13.64,11.28,13.04,12.96,13.64,10.2,12.0,11.8,11.28,8.42,,,,,,,13.64,11.28
